start,end
1946-01-01,1946-09-01
1947-07-01,1947-09-01
1948-05-01,1949-01-01
1952-11-01,1953-04-01
1956-03-01,1956-05-01
1956-07-01,1956-10-01
1957-03-01,1957-09-01
1959-07-01,1960-01-01
1960-03-01,1960-04-01
1961-10-01,1962-05-01
1965-01-01,1965-02-01
1965-11-01,1966-07-01
1967-07-01,1967-10-01
1968-11-01,1970-04-01
1971-04-01,1971-06-01
1972-10-01,1973-04-01
1973-05-01,1974-08-01
1975-06-01,1975-07-01
1976-08-01,1977-03-01
1977-04-01,1977-05-01
1977-06-01,1977-10-01
1978-04-01,1978-06-01
1978-08-01,1978-09-01
1979-09-01,1979-10-01
1980-11-01,1981-01-01
1981-02-01,1982-02-01
1983-08-01,1983-10-01
1983-11-01,1984-02-01
1986-03-01,1986-04-01
1986-06-01,1986-07-01
1987-04-01,1987-10-01
1989-07-01,1989-11-01
1990-02-01,1990-08-01
1991-05-01,1991-06-01
1993-09-01,1993-11-01
1993-12-01,1994-02-01
1998-02-01,1998-04-01
1998-06-01,1998-07-01
2000-03-01,2000-04-01
2000-05-01,2001-08-01
2001-11-01,2002-09-01
2004-01-01,2004-03-01
2007-05-01,2007-06-01
2007-07-01,2009-02-01
2009-12-01,2010-01-01
2010-02-01,2010-03-01
2011-02-01,2011-07-01
2015-02-01,2015-04-01
2015-07-01,2015-08-01
2018-06-01,2018-10-01
